Ticker,Quarter,Depreciation,EPS in Rs,Expenses +,Interest,Net Profit +,Other Income +,Profit before tax,Tax %,Average Stock Price
ADANIENSOL.NS,2023-03-01,416.0,3.49,2154.0,630.0,440.0,502.0,660.0,33.0,
ADANIENSOL.NS,2023-06-01,419.0,1.57,2395.0,616.0,182.0,108.0,343.0,47.0,869.312510172526
ADANIENSOL.NS,2023-09-01,432.0,2.47,2324.0,641.0,284.0,93.0,370.0,23.0,792.8200012207031
ADANIENSOL.NS,2023-12-01,458.0,2.91,3092.0,760.0,348.0,262.0,515.0,32.0,1076.8221305471952
ADANIENSOL.NS,2024-03-01,468.0,3.24,3141.0,750.0,381.0,204.0,552.0,31.0,1052.693216614804
ADANIENSOL.NS,2024-06-01,498.0,-7.39,3728.0,811.0,-1191.0,-1395.0,-1053.0,13.0,1049.889344262295
ADANIENSOL.NS,2024-09-01,484.0,5.62,4469.0,813.0,773.0,176.0,594.0,-30.0,950.1533284505208
ADANIENSOL.NS,2024-12-01,462.0,4.68,4170.0,809.0,625.0,170.0,559.0,-12.0,765.0859384536743
ADANIENSOL.NS,2025-03-01,462.0,5.39,4335.0,826.0,714.0,222.0,974.0,27.0,852.8584760245631
ADANIENSOL.NS,2025-06-01,465.0,4.27,5009.0,894.0,539.0,206.0,658.0,18.0,843.9507940383185
ADANIGREEN.NS,2022-06-01,280.0,1.35,687.0,458.0,214.0,66.0,276.0,21.0,2049.620628720238
ADANIGREEN.NS,2022-09-01,298.0,0.94,718.0,498.0,149.0,100.0,170.0,14.0,2178.215328093498
ADANIGREEN.NS,2022-12-01,330.0,0.65,1118.0,617.0,103.0,216.0,122.0,52.0,1534.4357115730406
ADANIGREEN.NS,2023-03-01,392.0,3.21,334.0,1338.0,507.0,265.0,799.0,38.0,871.9391642252605
ADANIGREEN.NS,2023-06-01,451.0,2.03,81.0,1393.0,323.0,178.0,415.0,34.0,984.8171873092651
ADANIGREEN.NS,2023-09-01,474.0,2.35,521.0,1165.0,371.0,353.0,413.0,29.0,957.4750061035156
ADANIGREEN.NS,2023-12-01,481.0,1.62,645.0,1242.0,256.0,264.0,207.0,33.0,1670.8846829322076
ADANIGREEN.NS,2024-03-01,497.0,0.95,693.0,1224.0,310.0,234.0,347.0,24.0,1847.9915316306938
ADANIGREEN.NS,2024-06-01,596.0,2.82,415.0,1426.0,629.0,271.0,628.0,28.0,1809.260488202495
ADANIGREEN.NS,2024-09-01,618.0,1.74,850.0,1369.0,515.0,224.0,442.0,6.0,1691.7475782825102
ADANIGREEN.NS,2024-12-01,618.0,3.11,460.0,1251.0,474.0,280.0,291.0,-37.0,1024.4296865463257
ADANIGREEN.NS,2025-03-01,663.0,1.45,680.0,1368.0,383.0,48.0,410.0,29.0,926.8720361741923
ADANIGREEN.NS,2025-06-01,767.0,4.39,758.0,1525.0,824.0,189.0,939.0,25.0,986.8757801055908
ADANIPORTS.NS,2022-06-01,840.0,5.48,2969.0,629.0,1177.0,486.0,1105.0,-7.0,734.5415504092261
ADANIPORTS.NS,2022-09-01,854.0,7.94,2320.0,577.0,1738.0,441.0,1900.0,9.0,847.8482016286542
ADANIPORTS.NS,2022-12-01,884.0,6.09,2090.0,534.0,1337.0,285.0,1564.0,15.0,721.6648825993614
ADANIPORTS.NS,2023-03-01,846.0,5.36,2526.0,623.0,1139.0,-885.0,917.0,-24.0,664.3496815999349
ADANIPORTS.NS,2023-06-01,950.0,9.79,2558.0,633.0,2119.0,384.0,2491.0,15.0,749.8974866867065
ADANIPORTS.NS,2023-09-01,974.0,8.09,2982.0,520.0,1762.0,351.0,2521.0,30.0,804.153975423177
ADANIPORTS.NS,2023-12-01,985.0,10.22,2724.0,976.0,2208.0,507.0,2741.0,19.0,1146.315463158392
ADANIPORTS.NS,2024-03-01,979.0,9.44,2887.0,619.0,2015.0,-70.0,2341.0,14.0,1318.1320614572298
ADANIPORTS.NS,2024-06-01,1012.0,14.41,2820.0,484.0,3107.0,349.0,3593.0,14.0,1470.802767845892
ADANIPORTS.NS,2024-09-01,1077.0,11.32,2832.0,527.0,2413.0,254.0,2885.0,16.0,1366.5787609469505
ADANIPORTS.NS,2024-12-01,1106.0,11.67,3161.0,923.0,2518.0,247.0,3020.0,17.0,1150.8330154418945
ADANIPORTS.NS,2025-03-01,1185.0,13.95,3482.0,715.0,3023.0,426.0,3532.0,14.0,1237.7459385758739
ADANIPORTS.NS,2025-06-01,1255.0,15.34,3631.0,846.0,3311.0,453.0,3848.0,14.0,1396.375560760498
ADANIPOWER.NS,2022-06-01,816.0,12.39,8003.0,823.0,4780.0,1786.0,5866.0,19.0,61.63761901855469
ADANIPOWER.NS,2022-09-01,833.0,1.8,6096.0,818.0,696.0,1402.0,699.0,0.0,72.04919421288275
ADANIPOWER.NS,2022-12-01,838.0,0.02,6295.0,946.0,9.0,526.0,212.0,96.0,50.21396848890517
ADANIPOWER.NS,2023-03-01,817.0,13.59,8335.0,746.0,5242.0,553.0,898.0,-484.0,42.335000069936115
ADANIPOWER.NS,2023-06-01,935.0,22.71,7491.0,883.0,8759.0,7103.0,8800.0,0.0,54.06500017642975
