,Normalized EBITDA,Reconciled Depreciation,EBITDA,EBIT,Interest Expense,Diluted Average Shares,Diluted EPS,Net Income,Tax Provision,Other Non Operating Income Expenses,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Ticker,Sector
2024-09-30,11752770000.0,2566110000.0,11752770000.0,9186660000.0,1185350000.0,3244047120.0,1.91,6196130000.0,1713060000.0,242500000.0,8945110000.0,17737780000.0,10041270000.0,26682890000.0,21363940000.0,48046830000.0,48046830000.0,VBL.NS,fmcg
2024-06-30,20347070000.0,2424770000.0,20347070000.0,17922300000.0,1291590000.0,3248601032.0,2.15,12526030000.0,4012370000.0,440260000.0,17487400000.0,21875430000.0,14457750000.0,39362830000.0,32605790000.0,71968620000.0,71968620000.0,VBL.NS,fmcg
2025-06-30,80790000000.0,,80790000000.0,80790000000.0,20260000000.0,3936959209.0,8.09,31850000000.0,15960000000.0,9850000000.0,70940000000.0,94280000000.0,89460000000.0,165220000000.0,209120000000.0,374340000000.0,374340000000.0,VEDL.NS,Metals & Mining
2025-03-31,80110000000.0,,82020000000.0,82020000000.0,15450000000.0,,,34830000000.0,16960000000.0,-24140000000.0,85900000000.0,25220000000.0,3130000000.0,111120000000.0,286770000000.0,397890000000.0,397890000000.0,VEDL.NS,Metals & Mining
2024-12-31,91030000000.0,,91030000000.0,91030000000.0,24420000000.0,3932372506.0,9.02,35470000000.0,17850000000.0,6800000000.0,84230000000.0,93400000000.0,90250000000.0,177630000000.0,207630000000.0,385260000000.0,385260000000.0,VEDL.NS,Metals & Mining
2024-09-30,84320000000.0,,103000000000.0,103000000000.0,26670000000.0,3892665474.0,11.18,43520000000.0,20300000000.0,13000000000.0,71320000000.0,88580000000.0,84600000000.0,159900000000.0,211810000000.0,371710000000.0,371710000000.0,VEDL.NS,Metals & Mining
2024-06-30,81480000000.0,,81480000000.0,81480000000.0,22220000000.0,3740663900.0,9.64,36060000000.0,8310000000.0,9340000000.0,72140000000.0,96320000000.0,92560000000.0,168460000000.0,183930000000.0,352390000000.0,352390000000.0,VEDL.NS,Metals & Mining
2025-06-30,805821000.0,208901000.0,805821000.0,596920000.0,74854000.0,102236533.0,3.75,383387000.0,136176000.0,70484000.0,526436000.0,1139968000.0,614996000.0,1666404000.0,214127000.0,1880531000.0,1880531000.0,VIJAYA.NS,Healthcare
2025-03-31,744127000.0,188214000.0,733831000.0,545617000.0,71911000.0,,,346374000.0,125059000.0,55486000.0,500427000.0,1010346000.0,538104000.0,1510773000.0,221652000.0,1732425000.0,1732425000.0,VIJAYA.NS,Healthcare
2024-12-31,718289000.0,183046000.0,718289000.0,535243000.0,68197000.0,102796199.0,3.42,351563000.0,114057000.0,46970000.0,488273000.0,993028000.0,524434000.0,1481301000.0,208525000.0,1689826000.0,1689826000.0,VIJAYA.NS,Healthcare
